
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
77,Vinny Del Negro\delnevi01,SG,23,SAC,76,29,1858,5.8,12.5,.462,0.2,0.6,.313,5.6,11.8,.470,2.6,3.0,.871,0.8,3.1,3.8,4.8,1.2,0.2,2.2,3.5,14.3
78,Byron Dinkins\dinkiby01,PG,22,HOU,33,0,362,4.4,10.8,.404,0.1,0.9,.111,4.3,9.9,.430,2.6,3.0,.867,1.3,2.7,4.0,7.5,1.9,0.2,3.7,3.0,11.4
79,Vlade Divac*\divacvl01,C,21,LAL,82,5,1611,6.1,12.3,.499,0.0,0.1,.000,6.1,12.2,.504,3.4,4.8,.708,3.7,7.7,11.4,1.7,1.8,2.5,2.5,5.4,15.7
80,James Donaldson\donalja01,C,32,DAL,73,73,2265,4.1,7.6,.539,0.0,0.0,,4.1,7.6,.539,2.4,3.4,.700,2.5,7.5,10.0,0.9,0.3,0.7,1.9,2.1,10.6
81,Sherman Douglas\douglsh01,PG,23,MIA,81,66,2470,6.7,13.7,.494,0.1,0.5,.161,6.7,13.2,.505,3.3,4.8,.687,1.0,2.0,3.0,9.0,2.1,0.1,3.6,2.7,16.8
82,Terry Dozier\doziete01,SF,23,CHH,9,0,92,3.5,10.6,.333,0.0,0.4,.000,3.5,10.2,.346,1.6,3.1,.500,2.7,3.1,5.9,1.2,2.3,0.8,2.7,3.9,8.6
83,Greg Dreiling\dreilgr01,C,27,IND,49,0,307,2.3,6.2,.377,0.0,0.0,,2.3,6.2,.377,2.9,4.0,.735,2.5,7.7,10.2,0.9,0.5,1.6,2.2,8.1,7.6
84,Larry Drew\drewla01,PG,31,LAL,80,3,1333,4.6,10.3,.444,0.9,2.2,.395,3.7,8.2,.457,1.2,1.6,.767,0.3,2.3,2.6,5.9,1.3,0.1,2.6,2.5,11.3
85,Clyde Drexler*\drexlcl01,SG,27,POR,73,73,2683,9.0,18.2,.494,0.4,1.4,.283,8.6,16.8,.512,4.5,5.8,.774,2.8,4.0,6.8,5.8,1.9,0.7,2.6,3.0,22.9
86,Kevin Duckworth\duckwke01,C,25,POR,82,82,2462,8.0,16.8,.478,0.0,0.0,,8.0,16.8,.478,3.4,4.6,.740,2.7,4.8,7.4,1.3,0.5,0.5,2.5,4.0,19.4
87,Chris Dudley\dudlech02,PF,24,TOT,64,30,1356,3.9,9.4,.411,0.0,0.0,,3.9,9.4,.411,1.5,4.8,.319,4.6,6.6,11.2,1.0,1.1,1.9,2.2,4.4,9.3
88,Joe Dumars*\dumarjo01,SG,26,DET,75,71,2578,7.1,14.8,.480,0.3,0.8,.400,6.8,14.0,.485,4.1,4.6,.900,0.8,2.1,3.0,5.1,0.9,0.0,2.0,1.8,18.6
89,Mike Dunleavy\dunlemi01,PG,35,MIL,5,0,43,3.3,11.7,.286,1.7,7.5,.222,1.7,4.2,.400,5.9,6.7,.875,0.0,1.7,1.7,8.4,0.8,0.0,6.7,5.9,14.2
90,T.R. Dunn\dunntr01,SF,34,DEN,65,2,657,2.4,5.3,.454,0.0,0.1,.000,2.4,5.2,.463,1.4,2.1,.667,3.1,4.5,7.6,2.4,2.2,0.2,1.0,3.7,6.2
91,Ledell Eackles\eacklle01,SG,23,WSB,78,8,1696,8.8,20.0,.439,0.4,1.3,.322,8.4,18.7,.447,4.5,5.9,.750,1.6,2.1,3.7,3.9,1.1,0.1,3.0,3.3,22.4
92,Mark Eaton\eatonma01,C,33,UTA,82,82,2281,2.5,4.7,.527,0.0,0.0,,2.5,4.7,.527,1.2,1.9,.669,2.7,6.8,9.5,0.6,0.5,3.2,1.2,3.8,6.2
93,Blue Edwards\edwarbl01,SF,24,UTA,82,49,1889,5.5,10.7,.507,0.2,0.6,.300,5.3,10.2,.519,2.8,3.9,.719,1.3,3.5,4.8,2.8,1.4,0.7,2.9,5.3,13.9
94,James Edwards\edwarja01,C,34,DET,82,70,2283,7.3,14.6,.498,0.0,0.0,.000,7.3,14.6,.499,4.2,5.6,.749,1.8,3.7,5.4,1.0,0.4,0.6,2.1,4.7,18.7
